[2026-09-03T16:16:31.303+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 7607, completion-tokens, 145, total-tokens, 7752, cost-ms, 5960, requestId, 3be311ce-3cc2-4746-b299-32f309499830, temperature, 0
[2026-09-03T16:19:07.512+08:00] model, ep-20260402170055-hm5ng, mode, doubao-seed, prompt-tokens, 1893, completion-tokens, 29, total-tokens, 1922, cost-ms, 3633, requestId, 021788423544134558dee98c98b3dff9af27b275e5aba6cac3948, temperature, 0
[2026-09-03T16:19:11.641+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 7853, completion-tokens, 150, total-tokens, 8003, cost-ms, 3342, requestId, 0142ea54-c627-4e5b-8617-49287f4ea839, temperature, 0
[2026-09-03T16:19:14.861+08:00] model, ep-20260402170055-hm5ng, mode, doubao-seed, prompt-tokens, 1890, completion-tokens, 35, total-tokens, 1925, cost-ms, 3158, requestId, 0217884235519258bace614be3acd9db1ef33fa7d6bffa03fff0f, temperature, 0
[2026-09-03T16:19:20.136+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 8093, completion-tokens, 133, total-tokens, 8226, cost-ms, 4470, requestId, 4b64ed6c-633d-4cbe-b21b-cfd08432ac92, temperature, 0
[2026-09-03T16:19:23.267+08:00] model, ep-20260402170055-hm5ng, mode, doubao-seed, prompt-tokens, 1894, completion-tokens, 29, total-tokens, 1923, cost-ms, 2704, requestId, 0217884235607818bace614be3acd9db1ef33fa7d6bffa04f5bb3, temperature, 0
[2026-09-03T16:19:28.108+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 8326, completion-tokens, 139, total-tokens, 8465, cost-ms, 3861, requestId, 0d223c72-c84b-47b9-86df-21132863e212, temperature, 0
[2026-09-03T16:19:31.997+08:00] model, ep-20260402170055-hm5ng, mode, doubao-seed, prompt-tokens, 1894, completion-tokens, 29, total-tokens, 1923, cost-ms, 3828, requestId, 0217884235687642fd15ee75de9b4dc39bf2980d49738fae2b1d4, temperature, 0
[2026-09-03T16:19:37.780+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 8575, completion-tokens, 99, total-tokens, 8674, cost-ms, 4994, requestId, cfd8a761-c169-401c-aff4-00bc12ff9972, temperature, 0
[2026-09-03T16:20:40.316+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 7612, completion-tokens, 148, total-tokens, 7760, cost-ms, 3998, requestId, 2e322ae8-ee5b-4c47-9b75-9e1a19dd96ec, temperature, 0
[2026-09-03T16:20:43.271+08:00] model, ep-20260402170055-hm5ng, mode, doubao-seed, prompt-tokens, 1881, completion-tokens, 32, total-tokens, 1913, cost-ms, 2827, requestId, 021788423640704bc5b405cef4a7e650528052a0606edbd45a5ef, temperature, 0
[2026-09-03T16:20:48.406+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 7839, completion-tokens, 97, total-tokens, 7936, cost-ms, 3818, requestId, 62119ea6-4d85-4b95-88f4-a3f7d5c7c16f, temperature, 0
[2026-09-03T16:21:11.990+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 7612, completion-tokens, 148, total-tokens, 7760, cost-ms, 4236, requestId, 6125f1b2-fa0d-4ed5-8b48-23f422664b72, temperature, 0
[2026-09-03T16:21:15.406+08:00] model, ep-20260402170055-hm5ng, mode, doubao-seed, prompt-tokens, 1882, completion-tokens, 28, total-tokens, 1910, cost-ms, 3346, requestId, 021788423672285f0ff1eb47bdd44e43fc7f5b789ec78c5c6e013, temperature, 0
[2026-09-03T16:21:19.934+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 7836, completion-tokens, 138, total-tokens, 7974, cost-ms, 3730, requestId, 9dda8592-0f15-4fa7-bda0-0dd89458d9d6, temperature, 0
[2026-09-03T16:21:22.868+08:00] model, ep-20260402170055-hm5ng, mode, doubao-seed, prompt-tokens, 1882, completion-tokens, 28, total-tokens, 1910, cost-ms, 2880, requestId, 021788423680222b3258f2d01977033bdd75367b71e36b4a30685, temperature, 0
[2026-09-03T16:21:27.364+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 8060, completion-tokens, 133, total-tokens, 8193, cost-ms, 3672, requestId, 15ec7262-f026-41bd-9eaf-578a515a197e, temperature, 0
[2026-09-03T16:21:30.472+08:00] model, ep-20260402170055-hm5ng, mode, doubao-seed, prompt-tokens, 1888, completion-tokens, 35, total-tokens, 1923, cost-ms, 3048, requestId, 021788423687734455d1347c595458c595d4ce2be5bc6c2b7f4de, temperature, 0
[2026-09-03T16:21:34.286+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 8289, completion-tokens, 114, total-tokens, 8403, cost-ms, 3022, requestId, 50a6a9ee-3fa3-42fd-874d-37272b779ee1, temperature, 0
[2026-09-03T16:22:04.810+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 7609, completion-tokens, 171, total-tokens, 7780, cost-ms, 4581, requestId, 4c4db2cd-78db-4254-8132-06203c94644e, temperature, 0
[2026-09-03T16:22:07.683+08:00] model, ep-20260402170055-hm5ng, mode, doubao-seed, prompt-tokens, 1881, completion-tokens, 34, total-tokens, 1915, cost-ms, 2797, requestId, 0217884237251672e7195095da0b208eb150b2d89b1e019c617ee, temperature, 0
[2026-09-03T16:22:12.388+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 7863, completion-tokens, 103, total-tokens, 7966, cost-ms, 3385, requestId, 9ee13d64-1b8c-441e-84b5-b057bb076056, temperature, 0
[2026-09-03T16:22:41.624+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 7608, completion-tokens, 112, total-tokens, 7720, cost-ms, 4044, requestId, 9f780bf3-34da-4dd7-a4bf-942b355c8b39, temperature, 0
[2026-09-03T16:22:47.463+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 7793, completion-tokens, 139, total-tokens, 7932, cost-ms, 4948, requestId, ed73ae8c-a787-46d1-99c9-bc3f3ce615ff, temperature, 0
[2026-09-03T16:22:54.814+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 8013, completion-tokens, 148, total-tokens, 8161, cost-ms, 6056, requestId, d37d9f8d-54b3-4823-829b-736888273ee1, temperature, 0
[2026-09-03T16:23:00.304+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 8250, completion-tokens, 137, total-tokens, 8387, cost-ms, 4209, requestId, ae429dbb-0e6f-4001-93ba-66ff5094d6e0, temperature, 0
[2026-09-03T16:23:03.070+08:00] model, ep-20260402170055-hm5ng, mode, doubao-seed, prompt-tokens, 1892, completion-tokens, 29, total-tokens, 1921, cost-ms, 2725, requestId, 0217884237805948d2562fdf16b513dfed82dbf1b933df820dd97, temperature, 0
[2026-09-03T16:23:06.481+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 8481, completion-tokens, 91, total-tokens, 8572, cost-ms, 2600, requestId, 4a8004ee-5def-447c-9893-f0cec7329fa0, temperature, 0
[2026-09-03T16:23:40.512+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 7635, completion-tokens, 181, total-tokens, 7816, cost-ms, 4198, requestId, 7d05ee90-28eb-49b8-aba0-d81c54cd9e96, temperature, 0
[2026-09-03T16:23:43.831+08:00] model, ep-20260402170055-hm5ng, mode, doubao-seed, prompt-tokens, 1887, completion-tokens, 28, total-tokens, 1915, cost-ms, 3233, requestId, 02178842382084866e002a0b45444f5b995d674593e892f21f69d, temperature, 0
[2026-09-03T16:23:49.646+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 7897, completion-tokens, 157, total-tokens, 8054, cost-ms, 4520, requestId, 0c7fe109-7200-4322-9269-58670f882a85, temperature, 0
[2026-09-03T16:23:52.955+08:00] model, ep-20260402170055-hm5ng, mode, doubao-seed, prompt-tokens, 1895, completion-tokens, 29, total-tokens, 1924, cost-ms, 3271, requestId, 0217884238300859f9e3bc2a50c10e61169ccbb11b5e4f8960f6c, temperature, 0
[2026-09-03T16:23:57.487+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 8146, completion-tokens, 111, total-tokens, 8257, cost-ms, 3740, requestId, 376999a6-c58b-4bdf-b5c2-db8ef33fce61, temperature, 0
[2026-09-03T16:24:00.750+08:00] model, ep-20260402170055-hm5ng, mode, doubao-seed, prompt-tokens, 1891, completion-tokens, 35, total-tokens, 1926, cost-ms, 3205, requestId, 02178842383775460e2e8259eaf532e1f9757932c4adaaa46b410, temperature, 0
[2026-09-03T16:24:06.380+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 8357, completion-tokens, 140, total-tokens, 8497, cost-ms, 4849, requestId, 865df821-7154-4e5d-87ec-73ed39261931, temperature, 0
[2026-09-03T16:24:09.368+08:00] model, ep-20260402170055-hm5ng, mode, doubao-seed, prompt-tokens, 1893, completion-tokens, 35, total-tokens, 1928, cost-ms, 2948, requestId, 02178842384663266b5c681db2719e2c29a083a8e3067a7c43ab2, temperature, 0
[2026-09-03T16:24:12.905+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 8609, completion-tokens, 122, total-tokens, 8731, cost-ms, 2737, requestId, c876787d-a11d-4435-ad4c-54e309499293, temperature, 0
[2026-09-03T16:24:15.546+08:00] model, ep-20260402170055-hm5ng, mode, doubao-seed, prompt-tokens, 1888, completion-tokens, 29, total-tokens, 1917, cost-ms, 2593, requestId, 02178842385305366b5c681db2719e2c29a083a8e3067a779bb7c, temperature, 0
[2026-09-03T16:24:20.221+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 8853, completion-tokens, 127, total-tokens, 8980, cost-ms, 3883, requestId, 3161921d-cd51-4fac-9c50-d98a37452ae6, temperature, 0
[2026-09-03T16:24:23.503+08:00] model, ep-20260402170055-hm5ng, mode, doubao-seed, prompt-tokens, 1888, completion-tokens, 29, total-tokens, 1917, cost-ms, 3229, requestId, 0217884238604799934adcccca3c7ffa5b093a5797cb014da8fa8, temperature, 0
[2026-09-03T16:24:28.542+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 9110, completion-tokens, 137, total-tokens, 9247, cost-ms, 4173, requestId, 0a7d5775-d176-439f-97f0-3da87bafcbe3, temperature, 0
[2026-09-03T16:24:32.236+08:00] model, ep-20260402170055-hm5ng, mode, doubao-seed, prompt-tokens, 1888, completion-tokens, 29, total-tokens, 1917, cost-ms, 3642, requestId, 0217884238689571ddfe07ff9aec2ea66ec9012716a0929d20a5d, temperature, 0
[2026-09-03T16:24:36.796+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 9384, completion-tokens, 126, total-tokens, 9510, cost-ms, 3738, requestId, 73e8beaf-9752-4413-9f4f-7276b5f0aa64, temperature, 0
[2026-09-03T16:25:23.755+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 7607, completion-tokens, 150, total-tokens, 7757, cost-ms, 3191, requestId, 6febc564-dda7-422c-87b4-9cec725c1e13, temperature, 0
[2026-09-03T16:25:26.302+08:00] model, ep-20260402170055-hm5ng, mode, doubao-seed, prompt-tokens, 1887, completion-tokens, 28, total-tokens, 1915, cost-ms, 2450, requestId, 021788423924103df8cb8dcff1d5d77c1a129e341c475eec7b1f8, temperature, 0
[2026-09-03T16:25:31.223+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 7831, completion-tokens, 119, total-tokens, 7950, cost-ms, 3573, requestId, 0fbf1767-98d9-4942-a6e5-c5668be34d7b, temperature, 0
[2026-09-03T16:25:34.771+08:00] model, ep-20260402170055-hm5ng, mode, doubao-seed, prompt-tokens, 1893, completion-tokens, 29, total-tokens, 1922, cost-ms, 3499, requestId, 02178842393179642c418ebeb566a2a1e4be8bcd5da6c9024bd3c, temperature, 0
[2026-09-03T16:25:38.308+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 8031, completion-tokens, 119, total-tokens, 8150, cost-ms, 2685, requestId, b01c7593-79a9-42c6-aba8-496bf025bbab, temperature, 0
[2026-09-03T16:26:40.434+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 7615, completion-tokens, 150, total-tokens, 7765, cost-ms, 3374, requestId, cc7abd04-e1a8-43ec-84ac-9656f76f4187, temperature, 0
[2026-09-03T16:26:43.342+08:00] model, ep-20260402170055-hm5ng, mode, doubao-seed, prompt-tokens, 1881, completion-tokens, 27, total-tokens, 1908, cost-ms, 2809, requestId, 0217884240007757203898673f92c06b060e1555225cea9d609d6, temperature, 0
[2026-09-03T16:26:49.037+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 7843, completion-tokens, 102, total-tokens, 7945, cost-ms, 4224, requestId, 6b52f4f5-efa2-4c08-8fd2-88fe02059158, temperature, 0
[2026-09-03T16:27:32.104+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 7620, completion-tokens, 171, total-tokens, 7791, cost-ms, 4525, requestId, 880d437f-3a74-4b92-990e-b0471be7530f, temperature, 0
[2026-09-03T16:27:54.541+08:00] model, ep-20260402170055-hm5ng, mode, doubao-seed, prompt-tokens, 1886, completion-tokens, 81, total-tokens, 1967, cost-ms, 22297, requestId, 0217884240707872fca5dbb8ccadf3c7eea5020e4b9012389311b, temperature, 0
[2026-09-03T16:28:01.073+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 7868, completion-tokens, 182, total-tokens, 8050, cost-ms, 5195, requestId, 777edf88-c755-4d9f-b3c8-5e24efffe1d5, temperature, 0
[2026-09-03T16:28:04.692+08:00] model, ep-20260402170055-hm5ng, mode, doubao-seed, prompt-tokens, 1888, completion-tokens, 29, total-tokens, 1917, cost-ms, 2970, requestId, 021788424081951d0b1b815c221becf9a3d62b0141678986abe7e, temperature, 0
[2026-09-03T16:28:07.489+08:00] model, ep-20260402170055-hm5ng, mode, doubao-seed, prompt-tokens, 1887, completion-tokens, 29, total-tokens, 1916, cost-ms, 2775, requestId, 021788424084808d0b1b815c221becf9a3d62b0141678982b2263, temperature, 0
[2026-09-03T16:28:13.327+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 8139, completion-tokens, 109, total-tokens, 8248, cost-ms, 3508, requestId, 13a15819-5e81-4d4e-ad3e-2b61c96a9a1d, temperature, 0
[2026-09-03T16:35:00.268+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 7621, completion-tokens, 118, total-tokens, 7739, cost-ms, 3457, requestId, d33d1ad5-1f6b-4748-9567-35b39548b343, temperature, 0
[2026-09-03T16:35:05.063+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 7812, completion-tokens, 127, total-tokens, 7939, cost-ms, 3645, requestId, bf3b9016-1501-4832-9037-f57b611efc45, temperature, 0
[2026-09-03T16:35:09.591+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 8023, completion-tokens, 137, total-tokens, 8160, cost-ms, 3649, requestId, c7a418ac-6a34-4b84-b222-332c58f9cecb, temperature, 0
[2026-09-03T16:35:15.813+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 8254, completion-tokens, 160, total-tokens, 8414, cost-ms, 4909, requestId, eae701ac-8f7f-4637-aba7-f2336359c456, temperature, 0
[2026-09-03T16:35:21.394+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 8521, completion-tokens, 133, total-tokens, 8654, cost-ms, 4261, requestId, 265a15e2-531f-4e02-8e5f-d6f0c31d09ac, temperature, 0
[2026-09-03T16:35:30.509+08:00] model, ep-20260402170055-hm5ng, mode, doubao-seed, prompt-tokens, 1892, completion-tokens, 29, total-tokens, 1921, cost-ms, 9060, requestId, 021788424527649a217cdec816f51c91bb0df9ac1f628ccd8adcb, temperature, 0
[2026-09-03T16:35:35.733+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 8773, completion-tokens, 118, total-tokens, 8891, cost-ms, 4403, requestId, 5c7e74dd-adac-40a1-848c-6e76c47ff5d5, temperature, 0
[2026-09-03T16:35:40.370+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 9020, completion-tokens, 154, total-tokens, 9174, cost-ms, 3799, requestId, cd1744ea-eeda-445b-8ca9-40ebd1aac0fb, temperature, 0
[2026-09-03T16:36:48.900+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 7608, completion-tokens, 119, total-tokens, 7727, cost-ms, 17624, requestId, db605b61-9105-494f-b280-4a734f31eaa4, temperature, 0
[2026-09-03T16:36:52.023+08:00] model, ep-20260402170055-hm5ng, mode, doubao-seed, prompt-tokens, 1892, completion-tokens, 29, total-tokens, 1921, cost-ms, 3085, requestId, 021788424609188cd3b5344888ac3ba2de550bbf1a8255e2bd6e4, temperature, 0
[2026-09-03T16:36:58.085+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 7800, completion-tokens, 115, total-tokens, 7915, cost-ms, 5254, requestId, ab89e9e1-b149-40ce-a621-7cc30cca94d4, temperature, 0
[2026-09-03T16:37:01.549+08:00] model, ep-20260402170055-hm5ng, mode, doubao-seed, prompt-tokens, 1880, completion-tokens, 34, total-tokens, 1914, cost-ms, 3441, requestId, 021788424618319df84d29ab7537fe21646717cf695ef3e3a4319, temperature, 0
[2026-09-03T16:37:04.556+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 7996, completion-tokens, 97, total-tokens, 8093, cost-ms, 2185, requestId, eea28a6d-63c4-420a-842b-352266095587, temperature, 0
[2026-09-03T16:37:44.475+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 7617, completion-tokens, 161, total-tokens, 7778, cost-ms, 3611, requestId, 9ee18f6a-3458-4b67-8ed8-10c7cbdc75a2, temperature, 0
[2026-09-03T16:37:47.785+08:00] model, ep-20260402170055-hm5ng, mode, doubao-seed, prompt-tokens, 1881, completion-tokens, 24, total-tokens, 1905, cost-ms, 3266, requestId, 0217884246649055dd7590e8b19660a59e1393236dbacd9eb8088, temperature, 0
[2026-09-03T16:37:52.447+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 7855, completion-tokens, 177, total-tokens, 8032, cost-ms, 3346, requestId, 8d43477f-e610-407e-82e6-9e65f09c5c18, temperature, 0
[2026-09-03T16:37:55.793+08:00] model, ep-20260402170055-hm5ng, mode, doubao-seed, prompt-tokens, 1881, completion-tokens, 28, total-tokens, 1909, cost-ms, 3303, requestId, 021788424672804537ac47bb498ab05fa07200c4c5dcff9fb527f, temperature, 0
[2026-09-03T16:38:02.491+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 8120, completion-tokens, 92, total-tokens, 8212, cost-ms, 5428, requestId, 0cd4eacf-d871-46ab-a194-da326d824af4, temperature, 0
[2026-09-03T16:40:10.367+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 7625, completion-tokens, 130, total-tokens, 7755, cost-ms, 3757, requestId, 94c4ceb9-292e-4544-80d8-cefb3385f20a, temperature, 0
[2026-09-03T16:40:14.299+08:00] model, ep-20260402170055-hm5ng, mode, doubao-seed, prompt-tokens, 1889, completion-tokens, 50, total-tokens, 1939, cost-ms, 3874, requestId, 0217884248106831f1ba7ee667ed692030c841083402d20a593d7, temperature, 0
[2026-09-03T16:40:33.243+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 7835, completion-tokens, 163, total-tokens, 7998, cost-ms, 17436, requestId, 9d00c576-6285-40d9-99c6-2dd15d2c5903, temperature, 0
[2026-09-03T16:40:36.141+08:00] model, ep-20260402170055-hm5ng, mode, doubao-seed, prompt-tokens, 1891, completion-tokens, 34, total-tokens, 1925, cost-ms, 2867, requestId, 0217884248336807a65978277b429c5ff962a597597b8d046dacc, temperature, 0
[2026-09-03T16:40:40.859+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 8090, completion-tokens, 172, total-tokens, 8262, cost-ms, 3426, requestId, 3c71fd4d-4462-45e0-9391-3ffdcf310590, temperature, 0
[2026-09-03T16:40:44.246+08:00] model, ep-20260402170055-hm5ng, mode, doubao-seed, prompt-tokens, 1891, completion-tokens, 34, total-tokens, 1925, cost-ms, 3360, requestId, 0217884248411399a1c9954c94302f914b56d2600354b2d367de4, temperature, 0
[2026-09-03T16:40:49.092+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 8366, completion-tokens, 173, total-tokens, 8539, cost-ms, 3547, requestId, 9f0c0ee5-dae6-46c6-ad79-5aadc69f36c9, temperature, 0
[2026-09-03T16:40:52.122+08:00] model, ep-20260402170055-hm5ng, mode, doubao-seed, prompt-tokens, 1888, completion-tokens, 34, total-tokens, 1922, cost-ms, 3002, requestId, 0217884248495597203898673f92c06b060e1555225cea960a02a, temperature, 0
[2026-09-03T16:40:58.234+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 8655, completion-tokens, 109, total-tokens, 8764, cost-ms, 4804, requestId, e808151e-069f-4ca1-b2f7-e54fba944014, temperature, 0
[2026-09-03T16:44:39.092+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 7617, completion-tokens, 150, total-tokens, 7767, cost-ms, 3985, requestId, 807f0de1-02c6-4bdd-b343-32e37d90af5c, temperature, 0
[2026-09-03T16:44:42.306+08:00] model, ep-20260402170055-hm5ng, mode, doubao-seed, prompt-tokens, 1894, completion-tokens, 29, total-tokens, 1923, cost-ms, 3115, requestId, 0217884250795374c502d6d16df19f1033d5097a3fef89e90546f, temperature, 0
[2026-09-03T16:44:48.383+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 7841, completion-tokens, 162, total-tokens, 8003, cost-ms, 5263, requestId, 278764eb-c2d6-40cb-af0a-5e188ae8c369, temperature, 0
[2026-09-03T16:44:52.399+08:00] model, ep-20260402170055-hm5ng, mode, doubao-seed, prompt-tokens, 1881, completion-tokens, 27, total-tokens, 1908, cost-ms, 3978, requestId, 0217884250889595ebee42cf97dedf8bf8b0074ba542b8b8028ba, temperature, 0
[2026-09-03T16:45:02.985+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 8088, completion-tokens, 146, total-tokens, 8234, cost-ms, 9257, requestId, c33704ae-73da-4008-a5b5-7aa085f674b4, temperature, 0
[2026-09-03T16:45:09.286+08:00] model, ep-20260402170055-hm5ng, mode, doubao-seed, prompt-tokens, 1881, completion-tokens, 32, total-tokens, 1913, cost-ms, 6262, requestId, 02178842510500644888747f914634ed2b79c952403adc3a3a07f, temperature, 0
[2026-09-03T16:45:13.811+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 8329, completion-tokens, 161, total-tokens, 8490, cost-ms, 3239, requestId, ee460c5b-f34c-4efe-a89f-e36709064543, temperature, 0
[2026-09-03T16:45:16.454+08:00] model, ep-20260402170055-hm5ng, mode, doubao-seed, prompt-tokens, 1889, completion-tokens, 29, total-tokens, 1918, cost-ms, 2601, requestId, 02178842511407528cc8d6b5744460169587fab9abef9a0c82b70, temperature, 0
[2026-09-03T16:45:38.543+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 8595, completion-tokens, 109, total-tokens, 8704, cost-ms, 21304, requestId, 8a7adfc5-f409-498a-bba8-380750707760, temperature, 0
[2026-09-03T16:46:31.057+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 7610, completion-tokens, 157, total-tokens, 7767, cost-ms, 3258, requestId, 4fb0dffa-43db-428b-81ed-fccc405b8690, temperature, 0
[2026-09-03T16:46:34.359+08:00] model, ep-20260402170055-hm5ng, mode, doubao-seed, prompt-tokens, 1881, completion-tokens, 24, total-tokens, 1905, cost-ms, 3271, requestId, 021788425191363a358eb8c1a3349df7515bd9b266f73314ef4f8, temperature, 0
[2026-09-03T16:46:41.977+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 7843, completion-tokens, 120, total-tokens, 7963, cost-ms, 6335, requestId, dfab1b9a-17b7-45f0-b677-d08816c7bd20, temperature, 0
[2026-09-03T17:36:04.336+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 7599, completion-tokens, 140, total-tokens, 7739, cost-ms, 4118, requestId, c0af69ca-ad28-4b60-bdd6-5f83739c8e9c, temperature, 0
