图鉴编号,直接遇敌地图与池,直接遇敌解锁条件
80,海边浅滩 / 3星池,初始开放
81,废弃电站 / 1星池,初始开放
82,废弃电站 / 3星池,初始开放
83,常青森林 / 4星池,初始开放
84,废弃电站 / 2星池,初始开放
85,废弃电站 / 3星池,初始开放
86,海边浅滩 / 2星池,初始开放
87,海边浅滩 / 4星池,初始开放
88,废弃电站 / 1星池,初始开放
89,废弃电站 / 4星池,初始开放
90,海边浅滩 / 2星池,初始开放
91,海边浅滩 / 4星池,初始开放
92,废弃电站 / 2星池,初始开放
93,废弃电站 / 3星池,初始开放
94,废弃电站 / 4星池,初始开放
95,月见山洞 / 4星池,初始开放
96,废弃电站 / 2星池,初始开放
97,废弃电站 / 3星池,初始开放
98,海边浅滩 / 1星池,初始开放
99,海边浅滩 / 3星池,初始开放
100,废弃电站 / 1星池,初始开放
101,废弃电站 / 3星池,初始开放
102,常青森林 / 2星池,初始开放
103,常青森林 / 5星池,初始开放
104,月见山洞 / 2星池,初始开放
105,月见山洞 / 4星池,初始开放
106,月见山洞 / 4星池,初始开放
107,月见山洞 / 4星池,初始开放
108,月见山洞 / 4星池,初始开放
109,废弃电站 / 2星池,初始开放
110,废弃电站 / 3星池,初始开放
111,月见山洞 / 2星池,初始开放
112,月见山洞 / 4星池,初始开放
113,月见山洞 / 5星池,初始开放
114,常青森林 / 4星池,初始开放
115,月见山洞 / 5星池,初始开放
116,海边浅滩 / 2星池,初始开放
117,海边浅滩 / 3星池,初始开放
118,海边浅滩 / 2星池,初始开放
119,海边浅滩 / 3星池,初始开放
120,海边浅滩 / 2星池,初始开放
121,海边浅滩 / 4星池,初始开放
122,常青森林 / 4星池,初始开放
123,常青森林 / 4星池,初始开放
124,海边浅滩 / 5星池,初始开放
125,废弃电站 / 4星池,初始开放
126,废弃电站 / 4星池,初始开放
127,常青森林 / 5星池,初始开放
128,废弃电站 / 5星池,初始开放
129,海边浅滩 / 1星池,初始开放
130,海边浅滩 / 5星池,初始开放
131,海边浅滩 / 5星池,初始开放
132,废弃电站 / 2星池,初始开放
133,废弃电站 / 2星池,初始开放
134,海边浅滩 / 4星池,初始开放
135,废弃电站 / 4星池,初始开放
136,废弃电站 / 4星池,初始开放
137,废弃电站 / 2星池,初始开放
138,海边浅滩 / 4星池,获得2枚徽章
139,海边浅滩 / 4星池,获得2枚徽章
140,海边浅滩 / 4星池,获得2枚徽章
141,海边浅滩 / 4星池,获得2枚徽章
142,月见山洞 / 5星池,获得4枚徽章
143,月见山洞 / 5星池,初始开放
144,海边浅滩 / 5星池,战胜全部四天王
145,废弃电站 / 5星池,战胜全部四天王
146,废弃电站 / 5星池,获得8枚徽章
147,海边浅滩 / 4星池,初始开放
148,海边浅滩 / 4星池,初始开放
149,常青森林 / 5星池,获得8枚徽章
150,月见山洞 / 5星池,战胜联盟冠军
151,常青森林 / 5星池,战胜赤红
